jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,pj,titular,minutos,partidos_completos_90,goles_en_contra_adv,goles_contra_por90,tiros_a_puerta_en_contra,paradas,porc_paradas,victorias,empates,derrotas,porterias_cero,porc_porterias_cero,penales_recibidos,penales_concedidos_adv,penales_parados,penales_fallados,porc_penales_parados,goles_falta_directa_en_contra,goles_corners_en_contra,autogoles_en_contra,psxg_en_contra,psnpxg_por_tiro_en_contra,psxg_neto,psxg_neto_por90,pases_largos_completados,pases_largos,porc_pases_largos_completados,pases_totales,saques_con_la_mano,porc_pases_lanzados,long_media_pase,saques_de_porteria,porc_saques_largos,long_media_saque,centros_defendidos,centros_atrapados,porc_centros_atrapados,acciones_fuera_del_area,acciones_fuera_del_area_por90,dist_media_acciones_fuera_area,season,stint_id
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,0.0,2000,2,2,180,2.0,2,1.0,5,4,80.0,0,2,0,0,0.0,0,0,0,0,0.0,0,0,1,1.8,0.38,0.8,0.39,11,24,45.8,63,9,28.6,31.2,10,60.0,49.3,30,1,3.3,5,2.5,20.7,2025-2026,51c6204bedce8b8c7e8528d618084825
Elia Caprile,ITA,GK,Cagliari,Serie A,0.0,2001,2,2,180,2.0,2,1.0,7,5,71.42857142857143,0,1,1,0,0.0,0,0,0,0,0.0,0,1,0,1.6,0.23,-0.4,-0.18,9,25,36.0,59,10,35.6,34.8,9,44.4,34.3,47,6,12.8,1,0.5,7.0,2025-2026,558b0597e62c0a5100c77c4697a2869e
Finn Dahmen,GER,GK,Augsburg,Bundesliga,0.0,1998,2,2,180,2.0,4,2.0,14,10,71.42857142857143,1,0,1,0,0.0,1,1,0,0,0.0,0,0,0,6.7,0.41,2.7,1.37,12,40,30.0,70,4,48.6,38.8,12,50.0,40.3,27,2,7.4,6,3.0,13.5,2025-2026,781501151a52e19b806b33a09b300d9c
Pablo Cuñat,ESP,GK,Levante,La Liga,0.0,2002,2,2,180,2.0,5,2.5,14,10,71.42857142857143,0,0,2,0,0.0,0,0,0,0,0.0,0,3,1,4.7,0.34,0.7,0.37,11,37,29.7,45,14,48.9,41.7,26,57.7,48.1,46,2,4.3,1,0.5,8.1,2025-2026,d3af763b087b459c4ac6ea01a383b9ce
Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997,2,2,180,2.0,0,0.0,2,2,100.0,2,0,0,2,100.0,0,0,0,0,0.0,0,0,0,0.2,0.09,0.2,0.09,9,25,36.0,66,7,31.8,32.4,4,100.0,68.3,27,4,14.8,1,0.5,8.4,2025-2026,816198cefed351cee42b3547c495e1c7
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,0.0,1990,2,2,180,2.0,6,3.0,12,6,50.0,1,0,1,1,50.0,0,0,0,0,0.0,0,1,0,3.7,0.31,-2.3,-1.15,2,15,13.3,69,5,17.4,26.4,4,75.0,53.5,18,1,5.6,3,1.5,15.1,2025-2026,f0f7e5acbb5956bd1f1a7a80bfa42fd8
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,0.0,1997,2,2,180,2.0,3,1.5,10,7,70.0,1,1,0,1,50.0,1,1,0,0,0.0,0,0,0,2.6,0.21,-0.4,-0.2,4,16,25.0,61,10,18.0,28.4,10,50.0,44.5,37,1,2.7,1,0.5,16.1,2025-2026,cc6a31a622e2bd958cbbbc9c2c067cd3
Robin Zentner,GER,GK,Mainz 05,Bundesliga,0.0,1994,2,2,180,2.0,2,1.0,5,3,60.0,0,1,1,0,0.0,0,0,0,0,0.0,0,0,0,1.3,0.26,-0.7,-0.35,14,29,48.3,54,5,38.9,35.1,15,53.3,49.6,19,3,15.8,5,2.5,17.5,2025-2026,7897d3926df83cf6ddeed725554138b9
Mile Svilar,SRB,GK,Roma,Serie A,0.0,1999,2,2,180,2.0,0,0.0,5,5,100.0,2,0,0,2,100.0,0,0,0,0,0.0,0,0,0,1.0,0.21,1.0,0.52,7,30,23.3,66,10,28.8,34.6,13,84.6,59.5,24,1,4.2,1,0.5,11.1,2025-2026,adf6f2ff34ea39ef63d54d05c74b917d
Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,0.0,1995,2,2,180,2.0,3,1.5,9,5,55.55555555555556,1,1,0,1,50.0,1,0,1,0,100.0,0,0,0,2.9,0.22,-0.1,-0.05,2,16,12.5,66,8,24.2,28.7,1,0.0,29.0,16,2,12.5,1,0.5,12.0,2025-2026,302fb98106697f409a0ccb220ea93462
Álvaro Vallés,ESP,GK,Betis,La Liga,0.0,1997,2,2,180,2.0,3,1.5,11,9,81.81818181818183,0,1,1,0,0.0,0,0,0,0,0.0,0,2,1,1.3,0.12,-0.7,-0.33,5,18,27.8,64,9,23.4,30.5,11,27.3,37.6,29,0,0.0,3,1.5,12.0,2025-2026,e70e3256e9d0b217e62ddf41f904e440
Diant Ramaj,GER,GK,Heidenheim,Bundesliga,0.0,2001,2,2,180,2.0,5,2.5,10,5,50.0,0,0,2,0,0.0,1,1,0,0,0.0,0,0,0,4.6,0.37,-0.4,-0.21,11,35,31.4,94,10,25.5,34.1,22,50.0,46.3,32,4,12.5,4,2.0,13.9,2025-2026,1b21a009856ddb5516a4eede18b7c2ba
Ivan Provedel,ITA,GK,Lazio,Serie A,0.0,1994,2,2,180,2.0,2,1.0,10,8,80.0,1,0,1,1,50.0,0,0,0,0,0.0,1,0,0,2.7,0.27,0.7,0.34,3,9,33.3,51,9,11.8,27.4,12,25.0,30.2,18,2,11.1,0,0.0,10.2,2025-2026,63a485d0ee3e11ddda136ef8b78b9b5f
Moritz Nicolas,GER,GK,Gladbach,Bundesliga,0.0,1997,2,2,180,2.0,1,0.5,6,5,83.33333333333334,0,1,1,1,50.0,0,0,0,0,0.0,0,1,0,1.5,0.25,0.5,0.26,7,15,46.7,61,10,19.7,26.8,6,50.0,39.3,23,2,8.7,4,2.0,13.1,2025-2026,65a75a0533f214519c5c33a783e22227
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,0.0,1986,2,2,180,2.0,2,1.0,4,2,50.0,2,0,0,1,50.0,0,0,0,0,0.0,0,0,0,1.4,0.35,-0.6,-0.29,8,22,36.4,84,11,22.6,31.2,6,50.0,42.2,21,0,0.0,4,2.0,20.6,2025-2026,9042407d1499c97efbdda5b7cd4ccd22
Alex Meret,ITA,GK,Napoli,Serie A,0.0,1997,2,2,180,2.0,0,0.0,3,3,100.0,2,0,0,2,100.0,0,0,0,0,0.0,0,0,0,0.1,0.02,0.1,0.03,1,5,20.0,47,6,10.6,22.6,15,0.0,20.7,7,1,14.3,3,1.5,21.0,2025-2026,f3948134c48ad6f4dedd6856c4ba07f4
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,0.0,1996,2,2,180,2.0,5,2.5,10,5,50.0,0,1,1,0,0.0,0,0,0,0,0.0,0,1,0,4.4,0.44,-0.6,-0.3,15,42,35.7,53,9,49.1,40.3,17,94.1,62.8,33,2,6.1,3,1.5,13.6,2025-2026,1053343975348acfe23a93a73af22294
Pau López,ESP,GK,Betis,La Liga,0.0,1994,2,2,180,2.0,1,0.5,7,6,85.71428571428571,1,1,0,1,50.0,0,0,0,0,0.0,0,0,0,1.1,0.15,0.1,0.03,6,20,30.0,46,5,30.4,32.7,11,54.5,46.4,28,1,3.6,2,1.0,21.0,2025-2026,d75d6bca3c398147fec137cae8139799
Mike Maignan,FRA,GK,Milan,Serie A,0.0,1995,2,2,180,2.0,2,1.0,5,3,60.0,1,0,1,1,50.0,0,0,0,0,0.0,0,1,0,1.8,0.36,-0.2,-0.09,5,13,38.5,56,10,19.6,30.9,3,66.7,40.7,23,4,17.4,0,0.0,6.2,2025-2026,a7c51a88de219dd2d239bdd494440a44
Alexander Nübel,GER,GK,Stuttgart,Bundesliga,0.0,1996,2,2,180,2.0,2,1.0,8,6,75.0,1,0,1,1,50.0,0,0,0,0,0.0,0,0,0,1.9,0.23,-0.1,-0.07,11,18,61.1,73,10,23.3,29.3,8,12.5,27.8,36,4,11.1,3,1.5,14.4,2025-2026,aec23be5f3172dcf424d9586e88c35a0
