jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,partidos_jugados,partidos_titular,minutos,partidos_completos_90,goles,asistencias,goles_asistencias,goles_sin_penalti,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,xg,npxg,xg_asistencias,npxg_xg_asistencias,conducciones_progresivas,pases_progresivos,pases_progresivos_recibidos,goles_por90,asistencias_por90,goles_asistencias_por90,goles_penalti_por90,goles_asistencias_penalti_por90,xg_por90,xg_asistencias_por90,xg_xg_asistencias_por90,npxg_por90,npxg_xg_asistencias_por90,season,tiros,tiros_a_puerta,porc_tiros_a_puerta,tiros_por90,tiros_a_puerta_por90,goles_por_tiro,goles_por_tiro_a_puerta,dist_media_tiro,tiros_libres,npxg_por_tiro,xg_neto,npxg_neto,pases_completados,pases,porc_precision_pase,dist_total_pases,dist_progresiva_pases,pases_cortos_completados,pases_cortos,porc_precision_pase_corto,pases_medios_completados,pases_medios,porc_precision_pase_medio,pases_largos_completados,pases_largos,porc_precision_pase_largo,xa_modelado,xg_asistencias_neto,tiros_asistidos,pases_tercio_final,pases_area,centros_area,pases_en_juego,pases_balon_parado,pases_tiro_libre,pases_al_hueco,cambios_de_juego,centros,saques_de_banda,saques_de_esquina,esquinas_hacia_adentro,esquinas_hacia_fuera,esquinas_rectas,pases_fuera_de_juego,pases_bloqueados,doble_amarilla,faltas_cometidas,faltas_recibidas,fueras_de_juego,intercepciones,entradas_ganadas,penaltis_ganados,penaltis_concedidos,autogoles,recuperaciones,duelos_aereos_ganados,duelos_aereos_perdidos,porc_duelos_aereos_ganados,entradas,entradas_tercio_defensivo,entradas_tercio_medio,entradas_tercio_ofensivo,regates_parados,regates_enfrentados,porc_regates_parados,regates_no_parados,bloqueos,tiros_bloqueados,entradas_mas_intercepciones,despejes,errores,toques,toques_area_propia,toques_tercio_defensivo,toques_tercio_medio,toques_tercio_ofensivo,toques_area_rival,toques_en_juego,regates_intentados,regates_exitosos,porc_regates_exitosos,regates_no_exitosos,porc_regates_no_exitosos,conducciones,distancia_conducciones,distancia_conducciones_progresivas,conducciones_tercio_final,conducciones_area,malos_controles,perdidas,pases_recibidos,stint_id
Jorge Herrando,ESP,DF,Osasuna,La Liga,0.0,2001.0,1,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,3,66.7,32,14,0,0,0.0,2,2,100.0,0,0,0.0,0.0,0.0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,2,2,0,7,1,6,1,0,0,7,0,0,0.0,0,0.0,2,18,0,1,0,0,0,1,6d8df4e281f212eecd3f2098eb8e0bbb
Alex Sola,ESP,FW,Getafe,La Liga,0.0,1999.0,1,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,0,0,5,2,0,7,4,0,0.0,2,50.0,4,11,7,0,0,1,0,3,b917089090525c259cad94803bc3478f
Alfonso Espino,URU,"DF,MF",Rayo Vallecano,La Liga,0.0,1992.0,2,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,17,82.4,268,127,5,6,83.3,7,8,87.5,2,2,100.0,0.3,0.0,0,1,1,1,12,5,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,22,0,3,7,13,0,22,1,0,0.0,0,0.0,12,105,84,4,0,2,0,11,8d003cbc76661491b3929ecce8dbe0e5
Mikayil Ngor Faye,SEN,DF,Rennes,Ligue 1,0.0,2004.0,1,0,8.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,9,77.8,158,90,0,1,0.0,6,7,85.7,1,1,100.0,0.0,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,10,0,1,8,1,0,10,0,0,0.0,0,0.0,2,5,1,0,0,0,0,7,3c93e5355e61984aafeaaa7afd793070
Daniel Oyegoke,ENG,DF,Hellas Verona,Serie A,0.0,2003.0,1,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,5,60.0,30,8,3,4,75.0,0,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,8,0,2,3,3,0,8,1,1,100.0,0,0.0,2,1,0,0,0,1,0,2,1a510a96e136d81ac9ff984f56f2db93
Assan Ouedraogo,GER,MF,RB Leipzig,Bundesliga,0.0,2006.0,2,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,2025-2026,1,0,0.0,10.0,0.0,0.0,0.0,24.5,0,0.05,0.0,0.0,5,7,71.4,83,38,2,3,66.7,3,4,75.0,0,0,0.0,0.0,0.0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,9,0,1,4,4,1,9,1,1,100.0,0,0.0,7,33,3,0,0,0,0,7,7e79615318871d2aa4c87b7639769879
Romano Floriani,ITA,DF,Cremonese,Serie A,0.0,2003.0,1,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,2.62,0.0,2.62,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,100.0,29,25,1,1,100.0,1,1,100.0,0,0,0.0,0.0,-0.3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,5,0,0,1,4,1,5,0,0,0.0,0,0.0,2,4,3,0,0,2,0,3,13a30937cce871fb1aa04ebc288b024f
Antoniu,ESP,FW,Espanyol,La Liga,0.0,2002.0,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,1,0,0,1,1,100.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,eab7b2704012f1adbe4e764dd42ba2bf
Faustino Anjorin,ENG,MF,Torino,Serie A,0.0,2001.0,1,0,12.0,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.41,2025-2026,1,0,0.0,7.5,0.0,0.0,0.0,16.5,0,0.05,-0.1,-0.1,1,1,100.0,13,0,1,1,100.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,1,1,1,1,3,0,0,0.0,0,0.0,1,5,0,0,0,0,0,1,97fdc40cd14ae1b0544d65739723ed92
Jota Silva,POR,FW,Nott'ham Forest,Premier League,0.0,1999.0,1,0,12.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,3,66.7,27,5,1,1,100.0,1,2,50.0,0,0,0.0,0.0,0.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.0,2,1,1,0,2,2,100.0,0,0,0,2,1,0,7,0,2,1,4,2,7,0,0,0.0,0,0.0,2,3,2,0,0,1,0,4,1afb86f2d7071042027dab09d4f66151
