jugador,nacionalidad,posicion,equipo,competicion,edad,año_nacimiento,partidos_jugados,partidos_titular,minutos,partidos_completos_90,goles,asistencias,goles_asistencias,goles_sin_penalti,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,xg,npxg,xg_asistencias,npxg_xg_asistencias,conducciones_progresivas,pases_progresivos,pases_progresivos_recibidos,goles_por90,asistencias_por90,goles_asistencias_por90,goles_penalti_por90,goles_asistencias_penalti_por90,xg_por90,xg_asistencias_por90,xg_xg_asistencias_por90,npxg_por90,npxg_xg_asistencias_por90,season,tiros,tiros_a_puerta,porc_tiros_a_puerta,tiros_por90,tiros_a_puerta_por90,goles_por_tiro,goles_por_tiro_a_puerta,dist_media_tiro,tiros_libres,npxg_por_tiro,xg_neto,npxg_neto,pases_completados,pases,porc_precision_pase,dist_total_pases,dist_progresiva_pases,pases_cortos_completados,pases_cortos,porc_precision_pase_corto,pases_medios_completados,pases_medios,porc_precision_pase_medio,pases_largos_completados,pases_largos,porc_precision_pase_largo,xa_modelado,xg_asistencias_neto,tiros_asistidos,pases_tercio_final,pases_area,centros_area,pases_en_juego,pases_balon_parado,pases_tiro_libre,pases_al_hueco,cambios_de_juego,centros,saques_de_banda,saques_de_esquina,esquinas_hacia_adentro,esquinas_hacia_fuera,esquinas_rectas,pases_fuera_de_juego,pases_bloqueados,doble_amarilla,faltas_cometidas,faltas_recibidas,fueras_de_juego,intercepciones,entradas_ganadas,penaltis_ganados,penaltis_concedidos,autogoles,recuperaciones,duelos_aereos_ganados,duelos_aereos_perdidos,porc_duelos_aereos_ganados,entradas,entradas_tercio_defensivo,entradas_tercio_medio,entradas_tercio_ofensivo,regates_parados,regates_enfrentados,porc_regates_parados,regates_no_parados,bloqueos,tiros_bloqueados,entradas_mas_intercepciones,despejes,errores,toques,toques_area_propia,toques_tercio_defensivo,toques_tercio_medio,toques_tercio_ofensivo,toques_area_rival,toques_en_juego,regates_intentados,regates_exitosos,porc_regates_exitosos,regates_no_exitosos,porc_regates_no_exitosos,conducciones,distancia_conducciones,distancia_conducciones_progresivas,conducciones_tercio_final,conducciones_area,malos_controles,perdidas,pases_recibidos,stint_id
Marc Bartra,ESP,DF,Betis,La Liga,0.0,1991.0,4,4,360.0,4.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,7,0,0.25,0.0,0.25,0.25,0.25,0.02,0.0,0.02,0.02,0.02,2025-2026,2,1,50.0,0.5,0.25,0.5,1.0,22.7,0,0.04,0.9,0.9,181,202,89.6,3735,1273,58,61,95.1,88,91,96.7,30,43,69.8,0.0,0.0,1,13,0,0,185,17,14,0,4,0,0,0,0,0,0,0,2,0,1,4,0,5,6,0,0,1,17,9,7,56.3,11,6,4,1,4,9,44.4,5,7,5,16,27,1,263,51,150,101,12,1,263,2,0,0.0,1,50.0,131,755,453,6,0,4,1,153,73571d810e5a3c7d11b3f058e8511344
Natan,BRA,DF,Betis,La Liga,0.0,2001.0,4,4,360.0,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2025-2026,1,0,0.0,0.25,0.0,0.0,0.0,34.7,0,0.01,0.0,0.0,153,184,83.2,2816,972,58,59,98.3,79,95,83.2,14,27,51.9,0.0,0.0,1,7,0,0,176,7,4,0,1,0,1,0,0,0,0,1,0,0,5,2,0,3,1,0,0,0,15,11,8,57.9,2,1,1,0,0,1,0.0,1,2,0,5,26,0,223,29,134,84,6,2,223,0,0,0.0,0,0.0,116,584,289,0,0,4,1,143,2f64ae2ca65137a9d4d2c38df2d644c4
Pablo Fornals,ESP,MF,Betis,La Liga,0.0,1996.0,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,2,29,12,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,2025-2026,2,0,0.0,0.5,0.0,0.0,0.0,28.6,0,0.01,0.0,0.0,206,241,85.5,3581,1203,99,103,96.1,69,83,83.1,26,36,72.2,0.2,-0.3,4,35,4,1,230,10,7,0,6,7,0,3,0,2,0,1,4,0,4,7,2,5,4,0,0,0,26,2,1,66.7,6,0,4,2,2,6,33.3,4,0,0,11,6,0,271,6,47,170,55,1,271,3,2,66.7,1,33.3,166,710,308,2,0,5,4,204,b155898f5ea3233a040e106e40717c1d
Giovani Lo Celso,ARG,MF,Betis,La Liga,0.0,1996.0,4,4,351.0,3.9,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,2,17,13,0.26,0.26,0.51,0.26,0.51,0.21,0.15,0.36,0.21,0.36,2025-2026,6,3,50.0,1.54,0.77,0.17,0.33,19.8,1,0.13,0.2,0.2,187,218,85.8,2839,813,100,105,95.2,47,56,83.9,20,32,62.5,0.5,0.4,8,20,8,3,180,37,23,2,3,15,0,12,6,3,0,1,3,0,2,11,0,0,4,0,0,0,13,3,1,75.0,6,4,1,1,2,6,33.3,4,2,0,6,0,0,247,2,21,134,96,6,247,10,4,40.0,4,40.0,134,486,224,5,1,10,8,186,309c34b609f765000890b823b553bc72
Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,4,4,341.0,3.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,185,203,91.1,2985,629,95,101,94.1,69,75,92.0,15,19,78.9,0.2,-0.1,3,16,0,0,194,9,8,0,0,1,1,0,0,0,0,0,1,0,3,5,0,9,8,0,0,0,20,5,2,71.4,15,6,8,1,5,8,62.5,3,5,3,24,7,0,246,11,79,147,26,2,246,2,1,50.0,1,50.0,121,594,283,6,1,4,0,158,2eb2fd6931e36480921aeeec4f1ee9ed
Cucho,COL,FW,Betis,La Liga,0.0,1999.0,4,4,328.0,3.6,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,5,5,21,0.0,0.0,0.0,0.0,0.0,0.22,0.13,0.35,0.22,0.35,2025-2026,12,0,0.0,3.29,0.0,0.0,0.0,17.3,1,0.07,-0.8,-0.8,58,83,69.9,900,198,32,42,76.2,8,13,61.5,9,14,64.3,0.2,-0.5,4,4,1,0,78,5,0,0,4,5,0,0,0,0,0,0,2,0,7,6,4,1,2,0,0,0,7,3,7,30.0,4,2,1,1,1,1,100.0,0,4,0,5,4,0,132,5,13,61,60,17,132,13,6,46.2,5,38.5,89,367,143,2,2,17,11,105,a48e29ad147680703849b5be4d32cb25
Hugo Sotelo,ESP,MF,Celta Vigo,La Liga,0.0,2003.0,4,3,286.0,3.2,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,5,30,6,0.0,0.31,0.31,0.0,0.31,0.0,0.23,0.23,0.0,0.23,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,238,268,88.8,4233,1513,100,104,96.2,122,133,91.7,14,25,56.0,0.5,0.3,8,35,2,0,244,22,11,2,2,13,1,10,4,5,0,2,1,0,5,2,0,3,5,0,0,0,20,0,0,0.0,9,4,3,2,5,7,71.4,2,4,2,12,4,0,290,6,52,188,51,1,290,0,0,0.0,0,0.0,170,813,447,6,1,1,3,210,e46b4a539e4db68d818d055f88794601
Ilaix Moriba,GUI,MF,Celta Vigo,La Liga,0.0,2003.0,4,3,291.0,3.2,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.6,4,15,12,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.2,0.12,0.2,2025-2026,4,1,25.0,1.24,0.31,0.0,0.0,27.0,0,0.09,-0.4,-0.4,120,132,90.9,1920,449,54,57,94.7,60,66,90.9,4,4,100.0,0.3,-0.3,2,13,3,0,129,3,2,1,0,1,1,0,0,0,0,0,3,0,3,6,0,3,8,0,0,0,13,1,0,100.0,17,9,6,2,6,12,50.0,6,2,0,20,1,1,168,3,31,99,38,4,168,3,0,0.0,3,100.0,88,407,171,2,1,4,4,126,54f41d7de264fef5744ad3fc2072eedf
Javi Rodríguez,ESP,DF,Celta Vigo,La Liga,0.0,2003.0,4,3,282.0,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,18,8,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,2025-2026,1,0,0.0,0.32,0.0,0.0,0.0,10.0,0,0.15,-0.1,-0.1,229,250,91.6,3994,966,86,88,97.7,136,139,97.8,7,21,33.3,0.1,0.0,1,19,3,0,243,7,5,1,2,0,2,0,0,0,0,0,1,0,4,3,1,0,3,0,0,0,8,1,5,16.7,6,4,1,1,4,5,80.0,1,1,1,6,14,2,279,22,86,165,28,5,279,2,0,0.0,2,100.0,152,495,297,2,0,2,2,225,52b7ed9b3f4f9aff67980a87e1ad95cc
Nicolas Cozza,FRA,DF,Nantes,Ligue 1,0.0,1999.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2025-2026,1,0,0.0,0.33,0.0,0.0,0.0,24.5,0,0.03,0.0,0.0,81,111,73.0,1562,656,28,35,80.0,43,49,87.8,9,22,40.9,0.0,0.0,0,1,0,0,78,32,5,0,0,2,27,0,0,0,0,1,3,0,3,4,0,2,1,0,0,0,8,2,3,40.0,2,2,0,0,1,4,25.0,3,3,3,4,16,0,143,20,85,46,14,0,143,5,4,80.0,0,0.0,61,394,228,1,0,3,0,65,1e327688d1c528ae670ae12739d1d9e1
Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,3,3,270.0,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,4,26,6,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,2025-2026,5,1,20.0,1.67,0.33,0.0,0.0,25.4,0,0.02,-0.1,-0.1,183,209,87.6,3661,1152,62,66,93.9,91,98,92.9,25,35,71.4,0.2,-0.3,3,33,4,1,200,8,8,1,2,2,0,0,0,0,0,1,3,0,8,4,0,1,4,0,1,0,14,2,1,66.7,7,4,0,3,4,8,50.0,4,2,0,8,3,0,232,7,43,149,43,2,232,2,0,0.0,2,100.0,150,595,380,4,0,3,2,183,35368e5b03a6f41c31187621b95baec0
Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,Premier League,0.0,1999.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,11,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91,135,67.4,1362,507,51,58,87.9,31,45,68.9,5,17,29.4,0.1,-0.1,3,3,1,1,112,22,0,0,1,14,22,0,0,0,0,1,7,0,0,0,0,1,9,0,0,0,13,1,2,33.3,14,11,1,2,8,12,66.7,4,4,1,15,12,0,173,12,61,68,47,6,173,2,1,50.0,1,50.0,70,475,272,8,0,4,2,94,87f44ecde2ef86df16991854a67f8765
Rodrigo Riquelme,ESP,FW,Betis,La Liga,0.0,2000.0,4,4,269.0,3.0,0,1,1,0,0,0,0,0,0.4,0.4,1.1,1.5,14,12,17,0.0,0.33,0.33,0.0,0.33,0.13,0.36,0.49,0.13,0.49,2025-2026,5,1,20.0,1.67,0.33,0.0,0.0,23.1,0,0.08,-0.4,-0.4,94,114,82.5,1328,358,63,69,91.3,21,25,84.0,6,8,75.0,0.6,-0.1,4,9,4,0,108,4,0,2,1,4,4,0,0,0,0,2,4,0,3,5,0,3,1,0,0,0,16,1,2,33.3,4,1,0,3,2,4,50.0,2,1,0,7,0,0,143,0,21,48,75,8,143,12,3,25.0,6,50.0,108,670,347,9,2,5,5,115,29eada6e07c8182dbc2a4b07d7c3cafa
Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,1,0,0.0,0.33,0.0,0.0,0.0,25.7,0,0.01,0.0,0.0,88,119,73.9,1371,471,42,50,84.0,43,55,78.2,2,9,22.2,0.1,0.0,0,6,1,0,98,21,2,0,1,0,19,0,0,0,0,0,3,0,2,2,0,1,3,0,0,0,11,3,1,75.0,5,4,1,0,3,3,100.0,0,5,2,6,16,0,148,15,67,60,21,3,148,1,1,100.0,0,0.0,74,332,193,1,0,0,3,76,d712344d187553b76b0af6bb54d2970e
Joachim Andersen,DEN,DF,Fulham,Premier League,0.0,1996.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,2,11,1,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.3,0.07,0.3,2025-2026,2,0,0.0,0.67,0.0,0.0,0.0,11.9,0,0.1,-0.2,-0.2,149,172,86.6,3128,1025,49,54,90.7,73,78,93.6,25,36,69.4,0.7,-0.7,2,19,3,0,160,11,10,0,4,2,1,0,0,0,0,1,1,0,5,2,0,3,5,0,0,0,7,5,2,71.4,7,5,1,1,4,5,80.0,1,1,0,10,19,0,210,22,105,89,16,7,210,1,1,100.0,0,0.0,120,520,307,1,0,2,0,137,f333c9d63b898a848482bfe9c1345970
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,2,5,9,0.0,0.0,0.0,0.0,0.0,0.16,0.06,0.22,0.16,0.22,2025-2026,5,0,0.0,1.67,0.0,0.0,0.0,10.1,0,0.09,-0.5,-0.5,44,67,65.7,739,82,19,31,61.3,12,17,70.6,7,10,70.0,0.3,-0.2,4,3,0,0,65,2,0,0,3,0,0,0,0,0,0,0,0,0,7,5,2,0,1,0,0,0,6,25,6,80.6,1,1,0,0,0,0,0.0,0,1,1,1,4,0,87,4,11,41,38,11,87,3,2,66.7,1,33.3,36,177,77,2,0,1,3,64,07fa1f157f0d6022dde72610285cf038
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,3,3,270.0,3.0,2,1,3,2,0,0,1,0,2.3,2.3,0.6,2.9,13,17,20,0.67,0.33,1.0,0.67,1.0,0.77,0.21,0.98,0.77,0.98,2025-2026,9,3,33.3,3.0,1.0,0.22,0.67,14.8,0,0.26,-0.3,-0.3,124,154,80.5,1916,487,63,70,90.0,43,55,78.2,11,12,91.7,1.0,0.4,3,15,5,1,150,4,0,1,0,5,4,0,0,0,0,0,6,0,3,0,3,3,3,0,0,0,16,0,3,0.0,5,1,3,1,1,4,25.0,3,1,0,8,2,0,197,5,22,87,89,13,197,8,2,25.0,6,75.0,118,725,346,9,6,11,5,142,e787fbbcfed0f7d34816609d3d9afbb8
Mauro Arambarri,URU,MF,Getafe,La Liga,0.0,1995.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,1,7,3,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.16,0.14,0.16,2025-2026,7,2,28.6,2.33,0.67,0.0,0.0,20.2,1,0.06,-0.4,-0.4,46,59,78.0,780,150,22,26,84.6,17,21,81.0,5,8,62.5,0.0,-0.1,1,2,1,0,57,1,1,0,0,0,0,0,0,0,0,1,2,0,2,5,0,1,5,0,0,0,12,1,5,16.7,7,2,4,1,1,5,20.0,4,3,0,8,5,0,97,6,18,49,32,7,97,10,4,40.0,5,50.0,46,263,112,3,0,2,5,48,0fffd527241ba6071cafc9791bfd58f4
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,0.0,2002.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,2,19,9,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,0.11,2025-2026,4,2,50.0,1.33,0.67,0.0,0.0,14.3,0,0.04,-0.2,-0.2,164,206,79.6,2729,1071,84,88,95.5,66,85,77.6,12,21,57.1,0.1,-0.2,4,24,1,1,161,44,6,0,1,4,38,0,0,0,0,1,7,0,8,2,0,3,8,0,0,0,6,7,1,87.5,11,7,4,0,10,17,58.8,7,3,3,14,5,1,236,7,53,143,42,5,236,1,0,0.0,1,100.0,108,412,202,3,0,2,4,140,9d3d2ff75c7db52541f83d15597c8fef
Julien Le Cardinal,FRA,DF,Brest,Ligue 1,0.0,1997.0,3,3,270.0,3.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.9,1,6,1,0.33,0.0,0.33,0.33,0.33,0.27,0.01,0.29,0.27,0.29,2025-2026,5,2,40.0,1.67,0.67,0.2,0.5,11.0,0,0.16,0.2,0.2,97,120,80.8,1850,670,28,33,84.8,59,63,93.7,9,21,42.9,0.1,0.0,1,5,0,0,117,3,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,4,0,0,0,6,13,8,61.9,5,4,1,0,1,4,25.0,3,11,5,8,18,0,170,30,110,51,9,7,170,1,0,0.0,1,100.0,89,442,191,0,0,1,0,94,00d4ea4099846aaf0f91e1475c2479f8
Robin Le Normand,ESP,DF,Atlético Madrid,La Liga,0.0,1996.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,206,223,92.4,4040,1516,55,60,91.7,134,138,97.1,16,20,80.0,0.0,0.0,0,20,0,0,219,3,3,0,0,1,0,0,0,0,0,1,1,0,3,2,0,1,2,0,0,0,8,9,12,42.9,3,2,0,1,1,1,100.0,0,0,0,4,11,0,244,25,112,126,7,1,244,0,0,0.0,0,0.0,140,800,458,1,0,2,0,187,2871b9948a8c7a329fcd0892eb5dd88d
Jordan Lefort,FRA,DF,Angers,Ligue 1,0.0,1993.0,3,3,270.0,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,4,0,0.0,0.33,0.33,0.0,0.33,0.0,0.16,0.16,0.0,0.16,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,97,114,85.1,1846,698,43,45,95.6,41,42,97.6,12,23,52.2,0.2,0.5,2,6,1,0,89,24,8,1,1,0,0,0,0,0,0,1,3,0,0,3,0,3,4,0,0,0,7,4,0,100.0,7,7,0,0,6,7,85.7,1,4,3,10,22,1,155,50,116,39,1,0,155,0,0,0.0,0,0.0,72,412,193,0,0,1,1,81,17414d5a884c83888e851b81e0024976
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,0.0,1991.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,5,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,2025-2026,4,0,0.0,1.33,0.0,0.0,0.0,20.4,1,0.05,-0.2,-0.2,143,170,84.1,3198,1242,33,37,89.2,82,85,96.5,28,48,58.3,0.0,0.0,0,7,0,0,164,6,5,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0,14,5,4,55.6,5,4,1,0,2,3,66.7,1,3,1,8,8,0,195,17,112,75,9,2,195,1,1,100.0,0,0.0,112,480,224,4,0,1,0,139,330b49f08c68bffab4b829ad916ee199
Carlos Romero,ESP,DF,Espanyol,La Liga,0.0,2001.0,3,3,270.0,3.0,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,5,9,15,0.33,0.0,0.33,0.33,0.33,0.03,0.07,0.1,0.03,0.1,2025-2026,2,1,50.0,0.67,0.33,0.5,1.0,22.0,0,0.05,0.9,0.9,81,108,75.0,1404,580,37,42,88.1,33,45,73.3,8,12,66.7,0.5,-0.2,2,9,3,2,84,24,2,0,0,7,22,0,0,0,0,0,3,0,5,1,0,2,5,0,0,0,16,1,0,100.0,9,4,5,0,6,9,66.7,3,3,2,11,4,0,140,6,41,67,35,3,140,11,6,54.5,4,36.4,69,432,200,6,0,3,2,65,a47d24c0a52119663663b9134acbbb8b
Cristian Romero,ARG,DF,Tottenham,Premier League,0.0,1998.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,157,178,88.2,3089,1120,46,50,92.0,99,105,94.3,11,20,55.0,0.0,0.0,0,8,0,0,165,13,9,0,1,0,0,0,0,0,0,0,0,0,4,2,0,4,2,0,0,0,14,6,3,66.7,5,3,0,2,2,2,100.0,0,5,4,9,9,1,206,32,121,80,6,4,206,1,1,100.0,0,0.0,110,494,256,1,0,2,0,131,48297c15b9383997c3ad732887d053bf
Jake O'Brien,IRL,DF,Everton,Premier League,0.0,2001.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,8,13,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,2025-2026,2,0,0.0,0.67,0.0,0.0,0.0,7.4,0,0.13,-0.3,-0.3,77,127,60.6,1466,484,31,43,72.1,37,58,63.8,8,18,44.4,0.0,0.0,0,7,0,0,93,34,0,1,0,6,34,0,0,0,0,0,6,0,1,2,1,2,4,0,0,0,7,12,3,80.0,5,3,2,0,3,3,100.0,0,2,1,7,10,1,164,7,52,69,45,4,164,8,0,0.0,8,100.0,65,258,57,6,0,3,7,86,7ee49c39eb9f9d33d053e0b73aafb797
Elisha Owusu,GHA,MF,Auxerre,Ligue 1,0.0,1997.0,3,3,267.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2025-2026,1,0,0.0,0.34,0.0,0.0,0.0,23.9,0,0.02,0.0,0.0,77,94,81.9,1387,277,32,36,88.9,36,41,87.8,8,14,57.1,0.0,0.0,0,7,0,0,92,2,1,0,2,0,1,0,0,0,0,0,2,0,3,3,0,4,3,0,0,0,18,1,2,33.3,7,5,2,0,2,4,50.0,2,4,0,11,3,0,117,5,30,71,17,0,117,4,3,75.0,1,25.0,64,246,105,1,0,4,0,63,c6932789f53f6a62d4fe12ab2d8cd8fa
Carlens Arcus,HAI,DF,Angers,Ligue 1,0.0,1996.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,114,136,83.8,1940,887,48,51,94.1,54,63,85.7,8,16,50.0,0.1,-0.2,3,6,1,1,109,27,4,0,0,2,23,0,0,0,0,0,1,0,4,1,0,3,4,0,0,0,11,4,1,80.0,5,3,2,0,3,4,75.0,1,6,0,8,10,0,164,12,81,64,19,1,164,0,0,0.0,0,0.0,60,275,131,1,1,1,1,91,c873750946bc7bf54935e454fdbfddd0
Valentin Rongier,FRA,MF,Rennes,Ligue 1,0.0,1994.0,3,3,270.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,14,3,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,2025-2026,1,1,100.0,0.33,0.33,0.0,0.0,27.9,0,0.04,0.0,0.0,151,170,88.8,2443,640,66,74,89.2,78,83,94.0,4,7,57.1,0.2,-0.1,3,22,1,0,169,1,1,1,0,0,0,0,0,0,0,0,2,0,2,4,0,1,2,0,0,0,15,2,0,100.0,3,1,1,1,2,3,66.7,1,5,3,4,2,0,189,11,35,115,40,0,189,2,1,50.0,1,50.0,69,317,139,4,0,3,2,149,4e347ea5018a35a7871094da71d99efe
Valentin Rosier,FRA,"DF,MF",Osasuna,La Liga,0.0,1996.0,3,3,270.0,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5,10,6,17,0.0,0.33,0.33,0.0,0.33,0.0,0.17,0.17,0.0,0.17,2025-2026,1,0,0.0,0.33,0.0,0.0,0.0,37.2,0,0.01,0.0,0.0,116,160,72.5,1801,585,65,75,86.7,44,61,72.1,6,22,27.3,0.5,0.5,3,11,3,2,139,21,1,0,0,9,20,0,0,0,0,0,0,0,5,2,1,7,5,0,0,0,24,2,0,100.0,8,6,2,0,4,5,80.0,1,2,0,15,10,0,195,14,65,86,47,6,195,7,4,57.1,3,42.9,97,437,247,6,2,4,3,107,1121514ad918b264aeb0075bff7df003
Morgan Rogers,ENG,"FW,MF",Aston Villa,Premier League,0.0,2002.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,3,11,21,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,2025-2026,3,1,33.3,1.0,0.33,0.0,0.0,14.0,0,0.05,-0.1,-0.1,46,73,63.0,746,270,22,29,75.9,16,25,64.0,6,12,50.0,0.2,-0.3,2,7,1,0,72,1,0,4,1,1,0,0,0,0,0,0,3,0,1,3,0,2,0,0,0,0,10,1,5,16.7,2,0,1,1,0,2,0.0,2,1,0,4,0,0,106,1,9,51,48,12,106,15,6,40.0,8,53.3,81,401,155,2,1,11,5,82,24b85f9c912deece4f071fca99292044
Charlie Cresswell,ENG,DF,Toulouse,Ligue 1,0.0,2002.0,3,3,270.0,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,1,5,0,0.33,0.0,0.33,0.33,0.33,0.16,0.0,0.16,0.16,0.16,2025-2026,4,1,25.0,1.33,0.33,0.25,1.0,7.5,0,0.12,0.5,0.5,116,132,87.9,2359,807,27,27,100.0,77,80,96.3,11,24,45.8,0.0,0.0,0,7,0,0,122,10,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,6,8,7,53.3,1,1,0,0,1,4,25.0,3,6,5,2,12,0,160,38,97,58,5,4,160,0,0,0.0,0,0.0,90,383,181,0,0,0,0,106,762f6e45c8d1e74999c305990fbe2254
Sepp van den Berg,NED,DF,Brentford,Premier League,0.0,2001.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,10,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,2025-2026,2,1,50.0,0.67,0.33,0.0,0.0,9.3,0,0.11,-0.2,-0.2,112,127,88.2,2031,758,38,42,90.5,63,69,91.3,10,13,76.9,0.0,0.0,0,7,0,0,124,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,10,12,8,60.0,2,2,0,0,2,3,66.7,1,5,4,4,29,1,172,33,98,66,8,4,172,0,0,0.0,0,0.0,78,497,319,0,0,2,0,96,5a7392957b0b051c45d4d7a894bd75c4
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,0.0,1994.0,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,4,16,1,0.0,0.0,0.0,0.0,0.0,0.23,0.01,0.25,0.23,0.25,2025-2026,2,1,50.0,0.67,0.33,0.0,0.0,12.4,0,0.35,-0.7,-0.7,136,154,88.3,2461,765,60,62,96.8,63,66,95.5,12,20,60.0,0.0,0.0,2,16,0,0,147,6,6,0,3,0,0,0,0,0,0,1,1,0,3,2,1,6,5,0,0,0,18,5,2,71.4,12,8,4,0,5,6,83.3,1,5,3,18,3,0,191,10,61,120,11,3,191,1,0,0.0,1,100.0,84,410,149,1,1,2,4,124,66f202d301f973725d05a63b8601fee8
