match_id,team_side,team_id,team_name,formation_name,period,start_expanded,end_expanded,duration_expanded,score_home,score_away,leader_at_start
1913901,away,2783,Girona,4411,16,0,31,31,0,0,draw
1913901,home,839,Villarreal,442,16,0,51,51,0,0,draw
1913901,away,2783,Girona,3421,1,31,41,10,4,0,home
1913901,away,2783,Girona,3421,1,41,51,10,4,0,home
1913901,away,2783,Girona,3421,2,51,76,25,4,0,home
1913901,home,839,Villarreal,442,2,51,68,17,4,0,home
1913901,home,839,Villarreal,442,2,68,71,3,4,0,home
1913901,home,839,Villarreal,442,2,71,75,4,5,0,home
1913901,home,839,Villarreal,442,2,75,93,18,5,0,home
1913901,away,2783,Girona,3421,2,76,83,7,5,0,home
1913901,away,2783,Girona,3421,2,83,93,10,5,0,home
