match_id,team_side,team_id,period,start_minute,end_minute,formation_name,slot,player_id,jersey_number,x,y
1913918,away,65,16,0,53,4231,1,422824,13,5.0,0.0
1913918,away,65,16,0,53,4231,2,368091,24,1.0,2.5
1913918,away,65,16,0,53,4231,3,422938,3,9.0,2.5
1913918,away,65,16,0,53,4231,4,402197,8,6.5,5.0
1913918,away,65,16,0,53,4231,5,384711,4,3.5,2.5
1913918,away,65,16,0,53,4231,6,498386,5,6.5,2.5
1913918,away,65,16,0,53,4231,7,480249,10,2.0,7.0
1913918,away,65,16,0,53,4231,8,279423,21,3.5,5.0
1913918,away,65,16,0,53,4231,9,349760,7,5.0,9.0
1913918,away,65,16,0,53,4231,10,463838,16,5.0,7.0
1913918,away,65,16,0,53,4231,11,300447,11,8.0,7.0
1913918,away,65,16,53,75,4231,1,422824,13,5.0,0.0
1913918,away,65,16,53,75,4231,2,368091,24,1.0,2.5
1913918,away,65,16,53,75,4231,3,422938,3,9.0,2.5
1913918,away,65,16,53,75,4231,4,402197,8,6.5,5.0
1913918,away,65,16,53,75,4231,5,384711,4,3.5,2.5
1913918,away,65,16,53,75,4231,6,498386,5,6.5,2.5
1913918,away,65,16,53,75,4231,7,480249,10,2.0,7.0
1913918,away,65,16,53,75,4231,8,279423,21,3.5,5.0
1913918,away,65,16,53,75,4231,9,349760,7,5.0,9.0
1913918,away,65,16,53,75,4231,10,261212,20,5.0,7.0
1913918,away,65,16,53,75,4231,11,300447,11,8.0,7.0
1913918,away,65,16,75,76,4231,1,422824,13,5.0,0.0
1913918,away,65,16,75,76,4231,2,368091,24,1.0,2.5
1913918,away,65,16,75,76,4231,3,572374,26,9.0,2.5
1913918,away,65,16,75,76,4231,4,402197,8,6.5,5.0
1913918,away,65,16,75,76,4231,5,384711,4,3.5,2.5
1913918,away,65,16,75,76,4231,6,498386,5,6.5,2.5
1913918,away,65,16,75,76,4231,7,480249,10,2.0,7.0
1913918,away,65,16,75,76,4231,8,279423,21,3.5,5.0
1913918,away,65,16,75,76,4231,9,349760,7,5.0,9.0
1913918,away,65,16,75,76,4231,10,261212,20,5.0,7.0
1913918,away,65,16,75,76,4231,11,300447,11,8.0,7.0
1913918,away,65,16,76,76,4231,1,422824,13,5.0,0.0
1913918,away,65,16,76,84,4231,1,422824,13,5.0,0.0
1913918,away,65,16,76,76,4231,2,368091,24,1.0,2.5
1913918,away,65,16,76,84,4231,2,368091,24,1.0,2.5
1913918,away,65,16,76,76,4231,3,572374,26,9.0,2.5
1913918,away,65,16,76,84,4231,3,572374,26,9.0,2.5
1913918,away,65,16,76,76,4231,4,402197,8,6.5,5.0
1913918,away,65,16,76,84,4231,4,402197,8,6.5,5.0
1913918,away,65,16,76,76,4231,5,384711,4,3.5,2.5
1913918,away,65,16,76,84,4231,5,384711,4,3.5,2.5
1913918,away,65,16,76,76,4231,6,422937,6,6.5,2.5
1913918,away,65,16,76,84,4231,6,422937,6,6.5,2.5
1913918,away,65,16,76,76,4231,7,480249,10,2.0,7.0
1913918,away,65,16,76,84,4231,7,480249,10,2.0,7.0
1913918,away,65,16,76,76,4231,8,279423,21,3.5,5.0
1913918,away,65,16,76,84,4231,8,279423,21,3.5,5.0
1913918,away,65,16,76,76,4231,9,349760,7,5.0,9.0
1913918,away,65,16,76,84,4231,9,300299,14,5.0,9.0
1913918,away,65,16,76,76,4231,10,261212,20,5.0,7.0
1913918,away,65,16,76,84,4231,10,261212,20,5.0,7.0
1913918,away,65,16,76,76,4231,11,300447,11,8.0,7.0
1913918,away,65,16,76,84,4231,11,300447,11,8.0,7.0
1913918,away,65,2,84,94,4231,1,422824,13,5.0,0.0
1913918,away,65,2,84,94,4231,2,301019,23,1.0,2.5
1913918,away,65,2,84,94,4231,3,572374,26,9.0,2.5
1913918,away,65,2,84,94,4231,4,402197,8,6.5,5.0
1913918,away,65,2,84,94,4231,5,384711,4,3.5,2.5
1913918,away,65,2,84,94,4231,6,368091,24,6.5,2.5
1913918,away,65,2,84,94,4231,7,480249,10,2.0,7.0
1913918,away,65,2,84,94,4231,8,279423,21,3.5,5.0
1913918,away,65,2,84,94,4231,9,261212,20,5.0,9.0
1913918,away,65,2,84,94,4231,10,422937,6,5.0,7.0
1913918,away,65,2,84,94,4231,11,300299,14,8.0,7.0
1913918,home,51,16,0,53,4231,1,423420,1,5.0,0.0
1913918,home,51,16,0,53,4231,2,384368,2,1.0,2.5
1913918,home,51,16,0,53,4231,3,135098,22,9.0,2.5
1913918,home,51,16,0,53,4231,4,425092,6,6.5,5.0
1913918,home,51,16,0,53,4231,5,142387,24,3.5,2.5
1913918,home,51,16,0,53,4231,6,294006,21,6.5,2.5
1913918,home,51,16,0,53,4231,7,126316,11,2.0,7.0
1913918,home,51,16,0,53,4231,8,349660,8,3.5,5.0
1913918,home,51,16,0,53,4231,9,254352,7,5.0,9.0
1913918,home,51,16,0,53,4231,10,445092,20,5.0,7.0
1913918,home,51,16,0,53,4231,11,106596,10,8.0,7.0
1913918,home,51,2,53,90,442,1,423420,1,5.0,0.0
1913918,home,51,2,53,90,442,2,425092,6,1.0,2.5
1913918,home,51,2,53,90,442,3,135098,22,9.0,2.5
1913918,home,51,2,53,90,442,4,106596,10,3.5,6.0
1913918,home,51,2,53,90,442,5,142387,24,3.5,2.5
1913918,home,51,2,53,90,442,6,294006,21,6.5,2.5
1913918,home,51,2,53,90,442,7,463233,18,1.0,6.0
1913918,home,51,2,53,90,442,8,115996,5,6.5,6.0
1913918,home,51,2,53,90,442,11,6227,14,9.0,6.0
1913918,home,51,2,90,94,442,1,423420,1,5.0,0.0
1913918,home,51,2,90,94,442,2,425092,6,1.0,2.5
1913918,home,51,2,90,94,442,3,135098,22,9.0,2.5
1913918,home,51,2,90,94,442,4,537870,28,3.5,6.0
1913918,home,51,2,90,94,442,5,142387,24,3.5,2.5
1913918,home,51,2,90,94,442,6,294006,21,6.5,2.5
1913918,home,51,2,90,94,442,7,463233,18,1.0,6.0
1913918,home,51,2,90,94,442,8,115996,5,6.5,6.0
1913918,home,51,2,90,94,442,11,6227,14,9.0,6.0
